Ticker Symbol,Fund Name
FAAR,First Trust Alternative Absolute Return Strategy ETF
FPA,First Trust Asia Pacific ex-Japan AlphaDEX® Fund
FBZ,First Trust Brazil AlphaDEX® Fund
FCAN,First Trust Canada AlphaDEX® Fund
FCEF,First Trust CEF Income Opportunity ETF
FNI,First Trust Chindia ETF
SKYY,First Trust Cloud Computing ETF
FXD,First Trust Consumer Discretionary AlphaDEX® Fund
FXG,First Trust Consumer Staples AlphaDEX® Fund
FV,First Trust Dorsey Wright Focus 5 ETF
FDN,First Trust Dow Jones Internet Index Fund
FXN,First Trust Energy AlphaDEX® Fund
FTSM,First Trust Enhanced Short Maturity ETF
FXO,First Trust Financials AlphaDEX® Fund
FGM,First Trust Germany AlphaDEX® Fund
FLM,First Trust Global Engineering and Construction ETF
FTGC,First Trust Global Tactical Commodity Strategy Fund
FAN,First Trust Global Wind Energy ETF
FXH,First Trust Health Care AlphaDEX® Fund
HDMV,First Trust Horizon Managed Volatility Developed International ETF
FXR,First Trust Industrials/Producer Durables AlphaDEX® Fund
FTAG,First Trust Indxx Global Agriculture ETF
FTRI,First Trust Indxx Global Natural Resources Income ETF
FPEI,First Trust Institutional Preferred Securities and Income ETF
FLN,First Trust Latin America AlphaDEX® Fund
LMBS,First Trust Low Duration Opportunities ETF
FMB,First Trust Managed Municipal ETF
FXZ,First Trust Materials AlphaDEX® Fund
MCEF,First Trust Municipal CEF Income Opportunity ETF
FTXO,First Trust Nasdaq Bank ETF
CIBR,First Trust Nasdaq Cybersecurity ETF
FTXG,First Trust Nasdaq Food & Beverage ETF
CARZ,First Trust NASDAQ Global Auto Index Fund
FTXN,First Trust Nasdaq Oil & Gas ETF
FTXH,First Trust Nasdaq Pharmaceuticals ETF
FTXD,First Trust Nasdaq Retail ETF
FTXL,First Trust Nasdaq Semiconductor ETF
FONE,First Trust Nasdaq Smartphone Index Fund
TDIV,First Trust NASDAQ Technology Dividend Index Fund
FTXR,First Trust Nasdaq Transportation ETF
QABA,First Trust NASDAQ® ABA Community Bank Index Fund
QCLN,First Trust NASDAQ® Clean Edge® Green Energy Index Fund
GRID,First Trust NASDAQ® Clean Edge® Smart Grid Infrastructure Index Fund
QTEC,First Trust NASDAQ-100-Technology Sector Index Fund
FCG,First Trust Natural Gas ETF
EMLP,First Trust North American Energy Infrastructure Fund
FBT,First Trust NYSE Arca Biotechnology Index Fund
FPE,First Trust Preferred Securities and Income ETF
AIRR,First Trust RBA American Industrial Renaissance® ETF
RFAP,First Trust RiverFront Dynamic Asia Pacific ETF
RFDI,First Trust RiverFront Dynamic Developed International ETF
RFEM,First Trust RiverFront Dynamic Emerging Markets ETF
FTSL,First Trust Senior Loan Fund
FKO,First Trust South Korea AlphaDEX® Fund
FCVT,First Trust SSI Strategic Convertible Securities ETF
FSZ,First Trust Switzerland AlphaDEX® Fund
HYLS,First Trust Tactical High Yield ETF
FXL,First Trust Technology AlphaDEX® Fund
FXU,First Trust Utilities AlphaDEX® Fund
FVL,First Trust Value Line® 100 Exchange-Traded Fund
FIW,First Trust Water ETF
SHYG,iShares 0-5 Year High Yield Corporate Bond ETF
STIP,iShares 0-5 Year TIPS Bond ETF
AGZ,iShares Agency Bond ETF
ILTB,iShares Core 10+ Year USD Bond ETF
IAGG,iShares Core International Aggregate Bond ETF
IEUR,iShares Core MSCI Europe ETF
IPAC,iShares Core MSCI Pacific ETF
USRT,iShares Core U.S. REIT ETF
HEZU,iShares Currency Hedged MSCI Eurozone ETF
HEWJ,iShares Currency Hedged MSCI Japan ETF
IMTM,iShares Edge MSCI Intl Momentum Factor ETF
IQLT,iShares Edge MSCI Intl Quality Factor ETF
ACWV,iShares Edge MSCI Min Vol Global ETF
ACWF,iShares Edge MSCI Multifactor Global ETF
MTUM,iShares Edge MSCI USA Momentum Factor ETF
QUAL,iShares Edge MSCI USA Quality Factor ETF
EMHY,iShares Emerging Markets High Yield Bond ETF
FALN,iShares Fallen Angels USD Bond ETF
FLOT,iShares Floating Rate Bond ETF
REET,iShares Global REIT ETF
IFGL,iShares International Developed Real Estate ETF
IPFF,iShares International Preferred Stock ETF
CEMB,iShares J.P. Morgan EM Corporate Bond ETF
LEMB,iShares J.P. Morgan EM Local Currency Bond ETF
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF
IYLD,iShares Morningstar Multi-Asset Income ETF
MCHI,iShares MSCI China ETF
ESGD,iShares MSCI EAFE ESG Optimized ETF
ESGE,iShares MSCI EM ESG Optimized ETF
EZU,iShares MSCI Eurozone ETF
ERUS,iShares MSCI Russia Capped ETF
ESGU,iShares MSCI USA ESG Optimized ETF
NEAR,iShares Short Maturity Bond ETF
MEAR,iShares Short Maturity Municipal Bond ETF
SUB,iShares Short-Term National Muni Bond ETF
GOVT,iShares U.S. Treasury Bond ETF
JPHY,JPMorgan Disciplined High Yield ETF
JPHF,JPMorgan Diversified Alternatives ETF
JPGE,JPMorgan Diversified Return Global Equity ETF
JPGB,JPMorgan Global Bond Opportunities ETF
JPST,JPMorgan Ultra-Short Income ETF
PSMB,PowerShares Balanced Multi-Asset Allocation Portfolio
PCEF,PowerShares CEF Income Composite Portfolio
PSMC,PowerShares Conservative Multi-Asset Allocation Portfolio
DBA,PowerShares DB Agriculture Fund
PDP,PowerShares DWA Momentum Portfolio
DWIN,PowerShares DWA Tactical Multi-Asset Income Portfolio
PJP,PowerShares Dynamic Pharmaceuticals Portfolio
PGF,PowerShares Financial Preferred Portfolio
PXH,PowerShares FTSE RAFI Emerging Markets Portfolio
PRF,PowerShares FTSE RAFI US 1000 Portfolio
PRFZ,PowerShares FTSE RAFI US 1500 Small-Mid Portfolio
PFIG,PowerShares Fundamental Investment Grade Corporate Bond Portfolio
PSMG,PowerShares Growth Multi-Asset Allocation Portfolio
IPKW,PowerShares International BuyBack Achievers™ Portfolio
PSMM,PowerShares Moderately Conservative Multi-Asset Allocation Portfolio
LALT,PowerShares Multi-Strategy Alternative Portfolio
PZA,PowerShares National AMT-Free Municipal Bond Portfolio
PDBC,PowerShares Optimum Yield Diversified Commodity Strategy No K-1 Portfolio
SPHB,PowerShares S&P 500 High Beta Portfolio
SPMO,PowerShares S&P 500 Momentum Portfolio
IDMO,PowerShares S&P International Developed Momentum Portfolio
XMLV,PowerShares S&P MidCap Low Volatility Portfolio
XSLV,PowerShares S&P SmallCap Low Volatility Portfolio
XSHQ,PowerShares S&P SmallCap Quality Portfolio
BAB,PowerShares Taxable Municipal Bond Portfolio
VRIG,PowerShares Variable Rate Investment Grade Portfolio
VRP,PowerShares Variable Rate Preferred Portfolio
TOLZ,ProShares DJ Brookfield Global Infrastructure ETF
PEX,ProShares Global Listed Private Equity ETF
HDG,ProShares Hedge Replication ETF
OILK,ProShares K 1 Free Crude Oil Strategy ETF
MRGR,ProShares Merger ETF
ALTS,ProShares Morningstar Alternatives Solution ETF
EMDV,ProShares MSCI Emerging Markets Dividend Growers ETF
RALS,ProShares RAFI® Long/Short
VIXM,ProShares VIX Mid-Term Futures ETF
BTAL,QuantShares US Market Neutral Anti-Beta Fund
MOM,QuantShares US Market Neutral Momentum Fund
SIZ,QuantShares US Market Neutral Size Fund
CHEP,QuantShares US Market Neutral Value Fund
SRLN,SPDR Blackstone / GSO Senior Loan ETF
LGLV,SPDR SSGA US Large Cap Low Volatility Index ETF
SMLV,SPDR SSGA US Small Cap Low Volatility Index ETF
TIPX,SPDR® Bloomberg Barclays 1-10 Year TIPS ETF
BIL,SPDR® Bloomberg Barclays 1-3 Month T-Bill ETF
CWB,SPDR® Bloomberg Barclays Convertible Securities ETF
ITE,SPDR® Bloomberg Barclays Intermediate Term Treasury ETF
IBND,SPDR® Bloomberg Barclays International Corporate Bond ETF
FLRN,SPDR® Bloomberg Barclays Investment Grade Floating Rate ETF
SJNK,SPDR® Bloomberg Barclays Short Term High Yield Bond ETF
IPE,SPDR® Bloomberg Barclays TIPS ETF
CJNK,SPDR® BofA Merrill Lynch Crossover Corporate Bond ETF
EMTL,SPDR® DoubleLine® Emerging Markets Fixed Income ETF
STOT,SPDR® DoubleLine® Short Duration Total Return Tactical ETF
SYE,SPDR® MFS Systematic Core Equity ETF
SYG,SPDR® MFS Systematic Growth Equity ETF
SYV,SPDR® MFS Systematic Value Equity ETF
LOWC,SPDR® MSCI ACWI Low Carbon Target ETF
EFAX,SPDR® MSCI EAFE Fossil Fuel Reserves Free ETF
QEFA,SPDR® MSCI EAFE StrategicFactorsSM ETF
EEMX,SPDR® MSCI Emerging Markets Fossil Fuel Reserves Free ETF
QEMM,SPDR® MSCI Emerging Markets StrategicFactorsSM ETF
QUS,SPDR® MSCI USA StrategicFactorsSM ETF
HYMB,SPDR® Nuveen S&P® High Yield Municipal Bond ETF
MTK,SPDR® NYSE Technology ETF
SPAB,SPDR® Portfolio Aggregate Bond ETF
SPEM,SPDR® Portfolio Emerging Markets ETF
SPIB,SPDR® Portfolio Intermediate Term Corporate Bond ETF
SPLG,SPDR® Portfolio Large Cap ETF
SPLB,SPDR® Portfolio Long Term Corporate Bond ETF
SPTL,SPDR® Portfolio Long Term Treasury ETF
SPMD,SPDR® Portfolio Mid Cap ETF
SPYG,SPDR® Portfolio S&P 500 Growth ETF
SPYD,SPDR® Portfolio S&P 500 High Dividend ETF
SPYV,SPDR® Portfolio S&P 500 Value ETF
SPSB,SPDR® Portfolio Short Term Corporate ETF
SPTS,SPDR® Portfolio Short Term Treasury ETF
SPSM,SPDR® Portfolio Small Cap ETF
SPTM,SPDR® Portfolio Total Stock Market ETF
SPDW,SPDR® Portfolio World ex-US ETF
ONEV,SPDR® Russell 1000 Low Volatility Focus ETF
ONEO,SPDR® Russell 1000 Momentum Focus ETF
ONEY,SPDR® Russell 1000 Yield Focus ETF
EDIV,SPDR® S&P Emerging Markets Dividend ETF
MDYG,SPDR® S&P® 400 Mid Cap Growth ETF
MDYV,SPDR® S&P® 400 Mid Cap Value ETF
SPYX,SPDR® S&P® 500 Fossil Fuel Reserves Free ETF
SLYG,SPDR® S&P® 600 Small Cap Growth ETF
SLYV,SPDR® S&P® 600 Small Cap Value ETF
XAR,SPDR® S&P® Aerospace & Defense ETF
KBE,SPDR® S&P® Bank ETF
GMF,SPDR® S&P® Emerging Asia Pacific ETF
GII,SPDR® S&P® Global Infrastructure ETF
GNR,SPDR® S&P® Global Natural Resources ETF
XHE,SPDR® S&P® Health Care Equipment ETF
XHB,SPDR® S&P® Homebuilders ETF
KIE,SPDR® S&P® Insurance ETF
GWX,SPDR® S&P® International Small Cap ETF
XSD,SPDR® S&P® Semiconductor ETF
XSW,SPDR® S&P® Software & Services ETF
XTN,SPDR® S&P® Transportation ETF
SHE,SPDR® SSGA Gender Diversity Index ETF
GAL,SPDR® SSGA Global Allocation ETF
RLY,SPDR® SSGA Multi-Asset Real Return ETF
ULST,SPDR® SSGA Ultra Short Term Bond ETF
FEU,SPDR® STOXX® Europe 50 ETF
PSK,SPDR® Wells Fargo® Preferred Stock ETF
ALD,WisdomTree Asia Local Debt Fund
AXJL,WisdomTree Asia Pacific ex-Japan Fund
AUSE,WisdomTree Australia Dividend Fund
AGZD,WisdomTree Barclays Interest Rate Hedged U.S. Aggregate Bond Fund
AGND,WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund
AGGY,WisdomTree Barclays Yield Enhanced U.S. Aggregate Bond Fund
SHAG,WisdomTree Barclays Yield Enhanced U.S. Short-Term Aggregate Bond Fund
USFR,WisdomTree Bloomberg Floating Rate Treasury Fund
USDU,WisdomTree Bloomberg U.S. Dollar Bullish Fund
PUTW,WisdomTree CBOE S&P 500 PutWrite Strategy Fund
CXSE,WisdomTree China ex-State-Owned Enterprises Fund
CYB,WisdomTree Chinese Yuan Strategy Fund
DYB,WisdomTree Dynamic Bearish U.S. Equity Fund
DDEZ,WisdomTree Dynamic Currency Hedged Europe Equity Fund
DDWM,WisdomTree Dynamic Currency Hedged International Equity Fund
DDLS,WisdomTree Dynamic Currency Hedged International SmallCap Equity Fund
DDJP,WisdomTree Dynamic Currency Hedged Japan Equity Fund
DYLS,WisdomTree Dynamic Long/Short U.S. Equity Fund
CEW,WisdomTree Emerging Currency Strategy Fund
EMCG,WisdomTree Emerging Markets Consumer Growth Fund
DVEM,WisdomTree Emerging Markets Dividend Fund
XSOE,WisdomTree Emerging Markets ex-State-Owned Enterprises Fund
DEM,WisdomTree Emerging Markets High Dividend Fund
ELD,WisdomTree Emerging Markets Local Debt Fund
DGRE,WisdomTree Emerging Markets Quality Dividend Growth Fund
DGS,WisdomTree Emerging Markets SmallCap Dividend Fund
EDOM,WisdomTree Europe Domestic Economy Fund
HEDJ,WisdomTree Europe Hedged Equity Fund
EUSC,WisdomTree Europe Hedged SmallCap Equity Fund
EUDG,WisdomTree Europe Quality Dividend Growth Fund
DFE,WisdomTree Europe SmallCap Dividend Fund
WFHY,WisdomTree Fundamental U.S. High Yield Corporate Bond Fund
SFHY,WisdomTree Fundamental U.S. Short-Term High Yield Corporate Bond Fund
DXGE,WisdomTree Germany Hedged Equity Fund
DXUS,WisdomTree Global ex-U.S. Hedged Dividend Fund
HDRW,WisdomTree Global ex-U.S. Hedged Real Estate Fund
DNL,WisdomTree Global ex-U.S. Quality Dividend Growth Fund
DRW,WisdomTree Global ex-U.S. Real Estate Fund
HGSD,WisdomTree Global Hedged SmallCap Dividend Fund
DEW,WisdomTree Global High Dividend Fund
GSD,WisdomTree Global SmallCap Dividend Fund
HYZD,WisdomTree Interest Rate Hedged High Yield Bond Fund
DOO,WisdomTree International Dividend ex-Financials Fund
DWM,WisdomTree International Equity Fund
IHDG,WisdomTree International Hedged Quality Dividend Growth Fund
DTH,WisdomTree International High Dividend Fund
DOL,WisdomTree International LargeCap Dividend Fund
DIM,WisdomTree International MidCap Dividend Fund
IQDG,WisdomTree International Quality Dividend Growth Fund
DLS,WisdomTree International SmallCap Dividend Fund
DXJC,WisdomTree Japan Hedged Capital Goods Fund
DXJ,WisdomTree Japan Hedged Equity Fund
DXJF,WisdomTree Japan Hedged Financials Fund
DXJH,WisdomTree Japan Hedged Health Care Fund
DXJR,WisdomTree Japan Hedged Real Estate Fund
DXJS,WisdomTree Japan Hedged SmallCap Equity Fund
DFJ,WisdomTree Japan SmallCap Dividend Fund
WDTI,WisdomTree Managed Futures Strategy
GULF,WisdomTree Middle East Dividend Fund
HYND,WisdomTree Negative Duration High Yield Bond Fund
EMSD,WisdomTree Strong Dollar Emerging Markets Equity Fund
DTN,WisdomTree U.S. Dividend ex-Financials Fund
EPS,WisdomTree U.S. Earnings 500 Fund
DON,WisdomTree U.S. MidCap Dividend Fund
EZM,WisdomTree U.S. MidCap Earnings Fund
USMF,WisdomTree U.S. Multifactor Fund
DES,WisdomTree U.S. SmallCap Dividend Fund
EES,WisdomTree U.S. SmallCap Earnings Fund
DGRS,WisdomTree U.S. SmallCap Quality Dividend Growth Fund
EXT,WisdomTree U.S. Total Earnings Fund
DXPS,WisdomTree United Kingdom Hedged Equity Fund
